Artista,Álbum,Formato,Observações
Posthumous,The Frightening Cold Tomb - Compendium Mortis,CD,
Posthumous,Unholy Ceremony,CD,
Power From Hell,20 Years Whispering Blasphemous Odes in Thy Hypocritical Ears,CD,Digipak
Power From Hell,Devil's Whorehouse,CD,Digipak
Power From Hell,Profound Evil Presence,CD,
Preceptor,Dogmatismo,CD,
Pretty Boy Floyd,Leather Boyz With Electric Toyz,CD,
Profanatica,Rotting Incarnation Of God,CD,
Queiron,The Shepherd Of Tophet,CD,Digipak
Rainbow,Long Live Rock 'N' Roll,CD,
Rainbow,Rising,CD,
Rainbow,Ritchie Blackmore's Rainbow,CD,
Ratos De Porão,Cada Dia Mais Sujo E Agressivo,CD,
Ratt,Detonator,CD,
Ratt,Invasion Of Your Privacy,CD,
Ratt,Out Of The Cellar,CD,
Ravendark's Monarchal Canticle,Sob A Bandeira Do Ódio E Da Arrogância,CD,
Ravendark's Monarchal Canticle,Sobre As Cinzas Do Fracasso Alheio,CD,
Ravendark's Monarchal Canticle,Totalitário & Vanguardista,CD,
Ravendark's Monarchal Canticle/Poprava,Pure Hate Attack,CD,Split
Razor,Evil Invaders,CD,
Razor,Executioner's Song,CD,
Razor,Malicious Intent,CD,
Razor,Open Hostility,CD,
Razor,Shotgun Justice,CD,
Razor,Custom Killing,CD,
Rebaelliun,Bringer Of War (The Last Stand),CD,
Rebel Meets Rebel,Rebel Meets Rebel,CD,
Roland Orzabal,Tomcats Screaming Outside,CD,
Rotting Christ,Non Serviam,CD,
Rotting Christ,Thy Mighty Contract,CD,
Running Wild,Branded And Exiled,CD,
Running Wild,Gates To Purgatory,CD,
Sacramentum,Far Away From The Sun,CD,
Sacramentum,The Black Destiny,CD,
Sacred Reich,Heal,CD,
Sadomystic,Cauldron - Darkness and the Secrets of Sorcery,CD,
Sarcófago,I.N.R.I.,CD,
Sarcófago,Rotting,CD,
Sarcófago,The Laws Of Scourge,CD,
Sargeist,Disciple Of The Heinous Path,CD,Digipak
Sargeist,Let The Devil In,CD,
Sargeist,Satanic Black Devotion,CD,Digipak
Satan,Court In The Act,CD,
Satyricon,Dark Medieval Times,CD,Digipak
Satyricon,The Shadowthrone,CD,Digipak
Saxon,Crusader,CD,
Selvageria,Selvageria,CD,Digipak
Sepultura,Arise,CD,
Sepultura,Schizophrenia,CD,Digipak
Severe Torture,Misanthropic Carnage,CD,
Sextrash,Sexual Carnage,CD,Digipak
Side Effects,Traitors Execution,CD,
Sinister,Cross The Styx,CD,
Sinister,Diabolical Summoning,CD,
Sinister,Hate,CD,Digipak
Skid Row,B-Side Ourselves,CD,
Skid Row,Skid Row,CD,
Skid Row,Slave To The Grind,CD,
Skid Row,The Gang's All Here,CD,
Slaughter,Eternal Live,CD,
Slaughter,Strappado,CD,2 CDs
Slayer,Decade Of Aggression,CD,2 CDs
Slayer,Show No Mercy,CD,
Spectral Wound,A Diabolic Thirst,CD,
Stone Temple Pilots,Core,CD,
Sühnopfer,Hic Regnant Borbonii Manes,CD,
Taake,... Doedskvad,CD,
Taake,Kong Vinter,CD,
Taake,Nattestid Ser Porten Vid,CD,
Taake,Noregs Vaapen,CD,
Taake,Over Bjoergvin graater himmerik,CD,
Taake,Stridens Hus,CD,
Tank,Filth Hounds Of Hades,CD,
Tankard,Zombie Attack,CD,
Tears For Fears,Elemental,CD,
Tears For Fears,Raoul And The Kings Of Spain,CD,
Tears For Fears,Tears Roll Down (Greatest Hits 82-92),CD,
Temple of Hyperborea,Engraved from the Cemetery Gates,CD,
Temple Of Void,Of Terror And The Supernatural,CD,
Testament,Demonic,CD,
Tezcatlipoca,Mexicatl,CD,Digipak
The Clash,From Here To Eternity,CD,
The Cult,Sonic Temple,CD,
The Police,Greatest Hits,CD,
The Power Station,She Can Rock It,CD,
The Power Station,The Power Station,CD,
The Spirit,Cosmic Terror,CD,
Torture Squad,Asylum Of Shadows,CD,
Torture Squad,Pandemonium,CD,
Torture Squad,Return Of Evil,CD,Digipak
Triumph,Imperium Lucifer,CD,Digipak
Trouble,Manic Frustration,CD,
Trouble,Psalm 9,CD,
Trouble,Run To The Light,CD,
Tsjuder,Demonic Possession,CD,
Tsjuder,Kill For Satan,CD,
Twisted Sister,Never Say Never... Club Daze Volume II,CD,
Twisted Sister,Under The Blade,CD + DVD,
Tyranno,March Of Death,CD,
Uada,Cult Of A Dying Sun,CD,
Uada,Devoid Of Light,CD,
Uada,Djinn,CD,
Ulver,Nattens Madrigal - Aatte Hymne Til Ulven I Manden,CD,
Unanimated,Ancient God Of Evil,CD,
Uncönquerable,Imperial Genocide,CD,
Unearthly,Age Of Chaos,CD,
Unearthly,Infernum Prelude To A New Reign,CD,
Unleashed,Dawn Of The Nine,CD,
Unleashed,The Hunt For White Christ,CD,
Unleashed,Where No Life Dwells,CD,
V/A,The Best Of James Bond - 30th Anniversary Collection,CD,
Vain,No Respect,CD,
Vazio,Vazio,CD,Digipak
Velho,Ao Vivo Em Jandira,CD,
Velho,Decrepitude & Sabedoria,CD,
Velho,O Retorno Da Mesma Lua,CD,Digipak
Velho,Senhor De Tudo - Vida Longa Ao Primitivo,CD,
Velvet Revolver,Contraband,CD,
Venom,Kissing The Beast,CD,
Vermeth,Suicide Or Be Killed!,CD,
Vetus Kran,Lost In Time,CD,
